Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative target magnitude,Relative check1 magnitude,Relative check2 magnitude,real ref mag,real targ mag,real ch1 mag,real ch 2 mag,,SNR(target),SNR(ref),error on flux(target),error on flux(ref),error on target mag,,ref mag (SIMBAD)
2459632.475,326679,604.205,-13.7853,0.002,82914.2,355.79,-12.2966,0.0047,52586.5,309.473,-11.8022,0.0064,8117.04,227.462,-9.7735,0.0304,-1.4887,0.4944,2.5231,,9.421269243,11.40438662,13.43307807,,540.675764,233.0425251,0.002008598,0.004660094,0.070183694,,
2459632.477,311321,595.813,-13.733,0.0021,79992.2,359.496,-12.2576,0.0049,50558.3,315.962,-11.7595,0.0068,7980.8,239.219,-9.7551,0.0325,-1.4754,0.4981,2.5025,,9.434598061,11.40813795,13.41250303,,522.5146145,222.5120725,0.002078411,0.004880634,0.070200715,,
2459632.479,261144,562.481,-13.5422,0.0023,67856.2,333.921,-12.079,0.0053,42873.3,303.51,-11.5805,0.0077,7030.4,237.224,-9.6175,0.0366,-1.4632,0.4985,2.4615,,9.446773708,11.40850656,13.37152375,,464.2716821,203.2103402,0.002339148,0.005344216,0.070242667,,
2459632.48,262808,553.606,-13.5491,0.0023,68798,343.657,-12.0939,0.0054,43353.1,294.873,-11.5926,0.0074,6711.64,236.793,-9.5671,0.0383,-1.4552,0.5013,2.5268,,9.45484308,11.41138914,13.4368679,,474.7202884,200.1937979,0.002287663,0.005424743,0.070247144,,
2459632.482,316787,595.962,-13.7519,0.002,83630.2,356.724,-12.3059,0.0046,52650.8,310.36,-11.8035,0.0064,8046.52,218.331,-9.764,0.0295,-1.446,0.5024,2.5419,,9.463989461,11.4123954,13.4518876,,531.5557032,234.4395107,0.00204306,0.004632325,0.070182851,,
2459632.483,315413,594.827,-13.7472,0.002,83628.6,356.722,-12.3059,0.0046,53013.1,319.778,-11.811,0.0065,8075.8,239.477,-9.768,0.0322,-1.4413,0.4949,2.5379,,9.468688093,11.40492906,13.44792318,,530.2600588,234.4363398,0.002048052,0.004632388,0.070183,,
2459632.485,311822,596.579,-13.7348,0.0021,83570.6,356.605,-12.3051,0.0046,52256.1,309.642,-11.7953,0.0064,7992.8,215.404,-9.7567,0.0293,-1.4297,0.5098,2.5484,,9.480366919,11.41979132,13.45838644,,522.6835004,234.350612,0.002077739,0.004634082,0.070183985,,
2459632.486,310261,599.588,-13.7293,0.0021,83698.6,351.17,-12.3068,0.0046,52881.6,310.65,-11.8083,0.0064,8103.2,227.542,-9.7716,0.0305,-1.4225,0.4985,2.5352,,9.487477515,11.40853402,13.44515409,,517.4569871,238.3421135,0.002098725,0.004556475,0.070179528,,
2459632.488,306240,591.555,-13.7152,0.0021,84098.2,357.38,-12.312,0.0046,52931.3,310.771,-11.8093,0.0064,8717.76,228.834,-9.851,0.0285,-1.4032,0.5027,2.461,,9.506811961,11.41268535,13.37095448,,517.6864366,235.3187084,0.002097795,0.004615018,0.070183325,,
2459632.495,290966,583.301,-13.6596,0.0022,82332.4,354.971,-12.2889,0.0047,52665,310.383,-11.8038,0.0064,8326.8,228.033,-9.8012,0.0297,-1.3707,0.4851,2.4877,,9.539321329,11.39512172,13.3977316,,498.8265064,231.9412008,0.00217711,0.004682221,0.070190192,,
