Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative Target Mag,Relative Check1 Mag,Relative Check2 Mag,,rel V mag,B-V,ref mag real,real target mag B,real ch1 mag,real ch2 mag,real targ mag V,B-v real,B-Verror,SNR(Target),SNR(ref),Error on flux(target),error on flux(ref),error on ref (SIMBAD),Error on target mag B,,error on target mag V
2459632.456,67296.5,333.044,-12.07,0.0054,9860.04,219.544,-9.9847,0.0242,8017.4,239.355,-9.7601,0.0324,0,0,0,0,-2.0853,0.2246,9.9847,,-1.6922,-0.3931,,9.744715498,12.05461281,0,9.217762449,0.526953049,0.149859413,202.0648923,44.91145283,0.005374511,0.024180914,,0.132338966,,0.070315303
2459632.458,125208,410.92,-12.7441,0.0036,19565.6,240.681,-10.7287,0.0134,15978.5,244.132,-10.5088,0.0166,1403.56,199.412,-7.8681,0.1543,-2.0154,0.2199,2.8606,,-1.6724,-0.343,,9.81465273,12.04989291,14.69065547,9.23752366,0.57712907,0.148386458,304.7016451,81.2926654,0.003564142,0.013359139,,0.1307332,,0.070195237
2459632.459,205488,493.811,-13.282,0.0026,32577.1,275.996,-11.2823,0.0092,26302.4,244.337,-11.05,0.0101,2575.84,202.33,-8.5273,0.0853,-1.9997,0.2323,2.755,,-1.6458,-0.3539,,9.830314889,12.06229261,14.58498384,9.264254719,0.566060171,0.148050538,416.1268178,118.0346817,0.002609781,0.009200686,,0.130351308,,0.070196141
2459632.461,211231,499.682,-13.3119,0.0026,34297.1,269.512,-11.3381,0.0085,27663.4,256.954,-11.1048,0.0101,2879.8,203.244,-8.6484,0.0766,-1.9738,0.2333,2.6897,,-1.6362,-0.3376,,9.856249362,12.06337961,14.51973768,9.27377982,0.582469542,0.148004632,422.7308568,127.2563003,0.00256901,0.008533959,,0.130305135,,0.070185062
2459632.462,215420,503.767,-13.3332,0.0025,35666.3,272.122,-11.3806,0.0083,28528,258.588,-11.1382,0.0098,3252.84,191.545,-8.7807,0.0639,-1.9526,0.2424,2.5999,,-1.6085,-0.3441,,9.877430092,12.07246683,14.42998839,9.301495005,0.575935087,0.14799451,427.6183236,131.0673154,0.002539648,0.008285819,,0.130288544,,0.070194518
2459632.464,210934,494.338,-13.3104,0.0025,35853.6,272.384,-11.3863,0.0082,28460.2,248.713,-11.1356,0.0095,3209.4,194.428,-8.7661,0.0658,-1.9241,0.2507,2.6202,,-1.5992,-0.3249,,9.905965451,12.08073705,14.4502723,9.310833954,0.595131497,0.147994849,426.6999502,131.6288769,0.002545114,0.008250469,,0.130286407,,0.070199199
2459632.466,183686,471.22,-13.1602,0.0028,31853.7,264.982,-11.2579,0.009,25621.6,263.237,-11.0215,0.0112,3066.48,190.906,-8.7166,0.0676,-1.9023,0.2364,2.5413,,-1.5728,-0.3295,,9.927709571,12.0663841,14.37129937,9.337212469,0.590497102,0.148045404,389.8094308,120.2108068,0.002785977,0.00903413,,0.130343305,,0.070200175
2459632.467,194190,482.214,-13.2206,0.0027,33656.5,268.321,-11.3177,0.0087,27667.7,247.193,-11.1049,0.0097,3330.04,204.24,-8.8061,0.0666,-1.9029,0.2128,2.5116,,-1.5688,-0.3341,,9.927105223,12.04273973,14.34154875,9.341213661,0.585891562,0.148047906,402.7050231,125.4337156,0.002696763,0.008657959,,0.130315896,,0.070256315
2459632.469,190990,478.907,-13.2025,0.0027,34285,260.234,-11.3378,0.0082,27877.2,267.393,-11.1131,0.0104,3055.52,216.108,-8.7127,0.0768,-1.8647,0.2247,2.6251,,-1.5519,-0.3128,,9.965233813,12.05463751,14.45504756,9.358108876,0.607124936,0.147994706,398.8039431,131.7468125,0.002723143,0.008243084,,0.130289539,,0.070193084
2459632.47,187564,475.34,-13.1829,0.0028,33747.9,268.574,-11.3206,0.0086,27307,256.259,-11.0907,0.0102,3281.96,191.722,-8.7903,0.0634,-1.8623,0.2299,2.5303,,-1.5371,-0.3252,,9.967743169,12.05993191,14.36028367,9.372957773,0.594785396,0.148013664,394.5891362,125.6558714,0.00275223,0.008642652,,0.13031604,,0.070183861
2459632.472,183397,465.612,-13.1585,0.0028,33332.8,267.758,-11.3072,0.0087,27102.2,256.66,-11.0825,0.0103,3273.32,204.156,-8.7875,0.0677,-1.8513,0.2247,2.5197,,-1.5305,-0.3208,,9.978698923,12.05466813,14.34970833,9.379488718,0.599210206,0.148017324,393.8837487,124.4885307,0.002757159,0.008723695,,0.130321544,,0.070181361
2459632.473,185724,478.953,-13.1722,0.0028,34249.2,260.091,-11.3366,0.0082,27814.6,247.412,-11.1107,0.0097,3303.68,191.577,-8.7975,0.063,-1.8356,0.2259,2.5391,,-1.5115,-0.3241,,9.994456007,12.05594403,14.36913114,9.39844146,0.596014548,0.147991926,387.7708251,131.6816037,0.002800623,0.008247166,,0.13029144,,0.070183694
2459632.475,185775,473.477,-13.1725,0.0028,34024.6,259.696,-11.3295,0.0083,28439.7,258.417,-11.1348,0.0099,3198.68,191.353,-8.7624,0.0649,-1.843,0.1947,2.5671,,-1.4985,-0.3445,,9.987014396,12.02467004,14.39705558,9.411491089,0.575523307,0.148001719,392.3633038,131.0170353,0.002767843,0.008288998,,0.130293394,,0.070200715
2459632.476,180481,467.853,-13.1411,0.0028,33937.9,259.603,-11.3267,0.0083,27745.2,257.156,-11.108,0.0101,3152.6,203.696,-8.7467,0.0701,-1.8144,0.2187,2.58,,-1.4887,-0.3257,,10.01563369,12.04874276,14.41004024,9.421269243,0.594364449,0.148023535,385.764332,130.7299993,0.00281519,0.008307198,,0.130295567,,0.070242667
2459632.478,180714,468.031,-13.1425,0.0028,34978.5,261.489,-11.3595,0.0081,28239.3,248.385,-11.1271,0.0095,3713.28,205.176,-8.9244,0.06,-1.783,0.2324,2.4351,,-1.4754,-0.3076,,10.04702346,12.06236814,14.26510871,9.434598061,0.612425395,0.148015148,386.1154496,133.7666212,0.00281263,0.008118617,,0.130283625,,0.070247144
2459632.479,140281,428.869,-12.8675,0.0033,27637.8,266.992,-11.1038,0.0105,22155.4,246.002,-10.8637,0.0121,2686.4,202.713,-8.5729,0.0819,-1.7637,0.2401,2.5309,,-1.4632,-0.3005,,10.06626154,12.07005969,14.36083198,9.446773708,0.619487834,0.148144257,327.0952202,103.5154611,0.003320134,0.010491186,,0.130464893,,0.070182851
2459632.481,154345,433.405,-12.9712,0.003,29894,271.325,-11.189,0.0099,24698,251.117,-10.9817,0.011,3186.2,200.537,-8.7582,0.0683,-1.7822,0.2073,2.4308,,-1.4552,-0.327,,10.04772866,12.03730561,14.26077749,9.45484308,0.592885583,0.148094934,356.1218722,110.177831,0.003049518,0.009856792,,0.130408803,,0.070183
2459632.482,175394,462.361,-13.11,0.0029,34805.4,270.659,-11.3541,0.0084,28644.6,258.813,-11.1426,0.0098,3558.72,204.745,-8.8782,0.0625,-1.7559,0.2115,2.4759,,-1.446,-0.3099,,10.07407974,12.04150967,14.30588203,9.463989461,0.610090281,0.148004417,379.3442786,128.5950218,0.002862835,0.008445117,,0.130305471,,0.070183985
2459632.484,174767,456.293,-13.1061,0.0028,35038.4,271.681,-11.3614,0.0084,28831.6,259.217,-11.1497,0.0098,3350.36,191.749,-8.8127,0.0621,-1.7447,0.2117,2.5487,,-1.4413,-0.3034,,10.08521209,12.04168881,14.37863198,9.468688093,0.616523994,0.148000381,383.0148611,128.968901,0.002835399,0.008420635,,0.130303287,,0.070179528
